"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: expectedElementsCount"
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"70,850278","16,387272","us/op",10
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"68,755519","5,643762","us/op",25
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"69,048996","2,545785","us/op",50
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"72,345555","3,058809","us/op",100
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"118,167903","6,078050","us/op",1000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"157,556052","2,693522","us/op",2000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"294,947050","10,184780","us/op",5000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"525,523863","67,410145","us/op",10000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"1087,264804","60,982794","us/op",25000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"2209,740658","130,054254","us/op",50000
"com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage","avgt",1,5,"4235,034903","787,812144","us/op",100000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"0,216252","0,004635","us/op",10
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"0,534996","0,006311","us/op",25
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"1,063096","0,028515","us/op",50
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"2,098374","0,036113","us/op",100
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"57,450138","4,947919","us/op",1000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"116,673300","2,570955","us/op",2000
"com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation","avgt",1,5,"267,714948","7,337726","us/op",5000
