Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;0,48118;0,012196;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1,240023;0,099114;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;2,449473;0,319063;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;4,698845;0,304038;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;133,55612;5,323766;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;270,597432;5,941076;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;680,453311;18,250783;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1353,115384;46,150892;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;3473,464806;153,813398;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;6817,277844;149,39719;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;13474,85402;439,876898;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,038642;0,0025;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,089326;0,006405;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,173281;0,007973;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,34596;0,017132;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;3,495617;0,121518;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;6,998061;0,163926;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;17,410608;0,295636;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;35,09953;3,017699;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;87,665673;2,239363;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;177,141604;2,384805;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;355,927066;7,144745;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,036527;0,001999;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,086923;0,00494;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,169778;0,005952;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,349023;0,037409;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;3,598679;0,438548;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;6,987255;0,09372;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;17,646717;2,126994;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;34,974176;1,489974;us/op;10000
