Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;0,520184;0,187315;us/op;10;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1,242483;0,274404;us/op;25;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;2,492472;0,764665;us/op;50;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;4,639919;1,032386;us/op;100;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;133,230749;2,578006;us/op;1000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;271,200481;15,374009;us/op;2000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;674,933377;31,285569;us/op;5000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1339,949437;20,302349;us/op;10000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;3339,469799;65,144219;us/op;25000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;7164,13592;420,393486;us/op;50000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;13784,05058;884,855955;us/op;100000;;;;;;;;584;592;664;1488;2400;5136;9696;23376;46184;91800
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,038541;0,005099;us/op;10;;;;;;;;;;;;;;;;;
